_object,Pos F1,Pos F2,Pos F3,Volume
"<PK:noesy_HSQC_SilB41_1ag.1.394: @(8.474, 4.141, 118.93)>",8.47389021166323,4.14107411687478,118.930642590725,6644930922.06454
"<PK:noesy_HSQC_SilB41_1ag.1.395: @(8.475, 3.94, 119.03)>",8.47523530964864,3.93972500925652,119.028508868662,8684391194.64981
"<PK:noesy_HSQC_SilB41_1ag.1.396: @(8.473, 2.428, 119.03)>",8.47259032288065,2.4281474558643,119.032589761604,7727062363.69634
"<PK:noesy_HSQC_SilB41_1ag.1.397: @(8.472, 1.587, 118.99)>",8.47243283587737,1.58707812818975,118.993743037519,14817342777.4563
"<PK:noesy_HSQC_SilB41_1ag.1.398: @(8.475, 1.234, 118.97)>",8.47539379026077,1.23424213851036,118.970805001283,4963209874.58007
"<PK:noesy_HSQC_SilB41_1ag.1.399: @(8.474, 1.076, 118.97)>",8.47437086994611,1.07629017839454,118.969270033731,21699880028.0925
"<PK:noesy_HSQC_SilB41_1ag.1.400: @(8.475, 0.425, 118.94)>",8.47540273274046,0.424770568767761,118.944118596934,6244738437.46666
"<PK:noesy_HSQC_SilB41_1ag.1.401: @(8.473, -0.028, 118.99)>",8.47264720698751,-0.0278615403276392,118.994227926666,8134982479.53403
"<PK:noesy_HSQC_SilB41_1ag.1.402: @(9.097, 9.095, 120.97)>",9.09700939952837,9.09456192690992,120.967677851123,98535254981.2583
"<PK:noesy_HSQC_SilB41_1ag.1.403: @(9.097, 4.529, 120.94)>",9.09652749923443,4.52922715072959,120.938219548628,3795194049.31448
"<PK:noesy_HSQC_SilB41_1ag.1.404: @(9.097, 3.943, 120.97)>",9.09670200178932,3.94312427662477,120.966812051182,26907347280.574
"<PK:noesy_HSQC_SilB41_1ag.1.405: @(9.09, 3.688, 120.99)>",9.09047642131667,3.68842657918664,120.992910102778,5661983045.59101
"<PK:noesy_HSQC_SilB41_1ag.1.406: @(9.104, 3.781, 120.9)>",9.10425231126589,3.78094886367045,120.901271716327,8689180731.35555
"<PK:noesy_HSQC_SilB41_1ag.1.407: @(9.094, 2.809, 120.97)>",9.09406421868552,2.80862700446529,120.967501808566,2698794452.44429
"<PK:noesy_HSQC_SilB41_1ag.1.408: @(9.097, 1.599, 120.97)>",9.0967740384312,1.59916518636035,120.970573287904,12873581645.8397
"<PK:noesy_HSQC_SilB41_1ag.1.409: @(9.098, 1.237, 120.96)>",9.09755650540332,1.23698743262504,120.959484665835,6569336834.5148
"<PK:noesy_HSQC_SilB41_1ag.1.410: @(9.097, 1.097, 120.93)>",9.09696791635874,1.09657529397214,120.932618615719,12254005211.6622
"<PK:noesy_HSQC_SilB41_1ag.1.411: @(9.097, 0.745, 120.98)>",9.09694878938831,0.744668006036412,120.97524974002,5565776690.6362
"<PK:noesy_HSQC_SilB41_1ag.1.412: @(9.097, 0.441, 120.97)>",9.09673379727263,0.441187586836428,120.966610786154,22128496096.8008
"<PK:noesy_HSQC_SilB41_1ag.1.414: @(9.097, -0.023, 120.94)>",9.09746857101979,-0.0229761510909317,120.936448313435,3596291240.47824
"<PK:noesy_HSQC_SilB41_1ag.1.415: @(8.493, 4.667, 123.11)>",8.49319280245778,4.6666750087902,123.108077373503,12312051043.9737
"<PK:noesy_HSQC_SilB41_1ag.1.416: @(8.495, 4.15, 122.84)>",8.49462111518467,4.14951455249675,122.837961690159,6958461579.14213
"<PK:noesy_HSQC_SilB41_1ag.1.417: @(8.492, 3.944, 123.06)>",8.49201289194426,3.94366129119144,123.058801929564,15360756341.8677
"<PK:noesy_HSQC_SilB41_1ag.1.418: @(8.493, 3.495, 123.06)>",8.4927046921085,3.49453844039962,123.062524560461,7039839910.13621
